text_label,year,theme,n
Godhavn Boys speech 2019,2019,state,12
Godhavn Boys speech 2019,2019,responsibility,11
Godhavn Boys speech 2019,2019,apology,8
Godhavn Boys speech 2019,2019,reconciliation,8
Occupation/refugees speech 2005,2005,state,8
Spiral case speech 2025,2025,responsibility,8
Spiral case speech 2025,2025,apology,7
Spiral case speech 2025,2025,harm,7
Spiral case speech 2025,2025,reconciliation,7
Thule/Inughuit declaration 1999,1999,state,7
Godhavn Boys speech 2019,2019,harm,6
Thule/Inughuit declaration 1999,1999,reconciliation,6
Greenlandic children speech 2022,2022,apology,5
Greenlandic children speech 2022,2022,harm,4
Spiral case speech 2025,2025,future,4
Spiral case speech 2025,2025,state,4
Godhavn Boys speech 2019,2019,future,3
Greenlandic children speech 2022,2022,responsibility,3
Greenlandic children speech 2022,2022,state,3
Occupation/refugees speech 2005,2005,harm,3
Occupation/refugees speech 2005,2005,responsibility,3
Greenlandic children letter 2020,2020,apology,2
Greenlandic children letter 2020,2020,state,2
Occupation/refugees speech 2005,2005,apology,2
Occupation/refugees speech 2005,2005,future,2
Thule/Inughuit declaration 1999,1999,apology,2
Greenlandic children letter 2020,2020,reconciliation,1
Greenlandic children letter 2020,2020,responsibility,1
Thule/Inughuit declaration 1999,1999,harm,1
Thule/Inughuit declaration 1999,1999,responsibility,1
