text_label,year,actor_group,n
Spiral case speech 2025,2025,victim address,35
Godhavn Boys speech 2019,2019,collective actor,26
Spiral case speech 2025,2025,collective actor,24
Godhavn Boys speech 2019,2019,speaker,23
Godhavn Boys speech 2019,2019,victim address,23
Greenlandic children speech 2022,2022,victim address,22
Greenlandic children letter 2020,2020,victim address,16
Godhavn Boys speech 2019,2019,state actor,11
Greenlandic children speech 2022,2022,collective actor,10
Occupation/refugees speech 2005,2005,collective actor,10
Occupation/refugees speech 2005,2005,speaker,10
Occupation/refugees speech 2005,2005,state actor,8
Thule/Inughuit declaration 1999,1999,state actor,7
Greenlandic children speech 2022,2022,speaker,6
Thule/Inughuit declaration 1999,1999,collective actor,5
Greenlandic children letter 2020,2020,speaker,4
Spiral case speech 2025,2025,speaker,4
Spiral case speech 2025,2025,state actor,4
Greenlandic children letter 2020,2020,collective actor,3
Greenlandic children speech 2022,2022,state actor,3
Greenlandic children letter 2020,2020,state actor,2
